# t[s]  x_H2(SM,r=1)  x_H2(dark 40GeV/40keV/0.01)
   0.00000E+00   0.00000E+00   0.00000E+00
   3.00000E+13   0.00000E+00   7.77135E-16
   6.00000E+13   0.00000E+00   1.55427E-15
   9.00000E+13   0.00000E+00   2.33140E-15
   1.20000E+14   0.00000E+00   3.10854E-15
   1.50000E+14   0.00000E+00   3.88567E-15
   1.80000E+14   0.00000E+00   4.66281E-15
   2.10000E+14   0.00000E+00   5.43994E-15
   2.40000E+14   0.00000E+00   6.21708E-15
   2.70000E+14   0.00000E+00   6.99421E-15
   3.00000E+14   0.00000E+00   7.77135E-15
   3.30000E+14   0.00000E+00   8.54848E-15
   3.60000E+14   0.00000E+00   9.32561E-15
   3.90000E+14   0.00000E+00   1.01027E-14
   4.20000E+14   0.00000E+00   1.08799E-14
   4.50000E+14   0.00000E+00   1.16570E-14
   4.80000E+14   0.00000E+00   1.24342E-14
   5.10000E+14   0.00000E+00   1.32113E-14
   5.40000E+14   0.00000E+00   1.39884E-14
   5.70000E+14   0.00000E+00   1.47656E-14
   6.00000E+14   0.00000E+00   1.55427E-14
   6.30000E+14   0.00000E+00   1.63198E-14
   6.60000E+14   0.00000E+00   1.70970E-14
   6.90000E+14   0.00000E+00   1.78741E-14
   7.20000E+14   0.00000E+00   1.86512E-14
   7.50000E+14   0.00000E+00   1.94284E-14
   7.80000E+14   0.00000E+00   2.02055E-14
   8.10000E+14   0.00000E+00   2.09826E-14
   8.40000E+14   0.00000E+00   2.17598E-14
   8.70000E+14   0.00000E+00   2.25369E-14
   9.00000E+14   0.00000E+00   2.33140E-14
   9.30000E+14   0.00000E+00   2.40912E-14
   9.60000E+14   0.00000E+00   2.48683E-14
   9.90000E+14   0.00000E+00   2.56454E-14
   1.02000E+15   0.00000E+00   2.64226E-14
   1.05000E+15   0.00000E+00   2.71997E-14
   1.08000E+15   0.00000E+00   2.79768E-14
   1.11000E+15   0.00000E+00   2.87540E-14
   1.14000E+15   0.00000E+00   2.95311E-14
   1.17000E+15   0.00000E+00   3.03082E-14
   1.20000E+15   0.00000E+00   3.10854E-14
   1.23000E+15   0.00000E+00   3.18625E-14
   1.26000E+15   0.00000E+00   3.26397E-14
   1.29000E+15   0.00000E+00   3.34168E-14
   1.32000E+15   0.00000E+00   3.41939E-14
   1.35000E+15   0.00000E+00   3.49711E-14
   1.38000E+15   0.00000E+00   3.57482E-14
   1.41000E+15   0.00000E+00   3.65253E-14
   1.44000E+15   0.00000E+00   3.73025E-14
   1.47000E+15   0.00000E+00   3.80796E-14
   1.50000E+15   0.00000E+00   3.88567E-14
   1.53000E+15   0.00000E+00   3.96339E-14
   1.56000E+15   0.00000E+00   4.04110E-14
   1.59000E+15   0.00000E+00   4.11881E-14
   1.62000E+15   0.00000E+00   4.19653E-14
   1.65000E+15   0.00000E+00   4.27424E-14
   1.68000E+15   0.00000E+00   4.35195E-14
   1.71000E+15   0.00000E+00   4.42967E-14
   1.74000E+15   0.00000E+00   4.50738E-14
   1.77000E+15   0.00000E+00   4.58509E-14
   1.80000E+15   0.00000E+00   4.66281E-14
