# Intermediate legacy extraction. No age axis is present.
# Do not use directly as a time-dependent canonical table.
source,channel,initial_mass,birth_metallicity,wind_mass,wind_fraction,net_H,net_He,net_C,net_N,net_O,net_Ne,net_Mg,net_Si,net_S,net_Ca,net_Fe,net_Z_TOTAL
/home/kjhan/BACKUP/Eunha.A1/LagEunha/src/AstroModules/SW_yield/agb_yields.h,2,1.00000000000000000e+00,7.00000000000000015e-03,3.94000000000000017e-01,3.94000000000000017e-01,-5.96300000000000042e-03,8.17700000000000024e-03,-6.43103099999999938e-05,9.93509400000000005e-05,1.16544800000000003e-05,5.77567199999999968e-06,4.34662399999999967e-05,5.99295500000000029e-06,1.69804300000000001e-06,-1.56645700000000004e-06,3.19885499999999972e-05,-2.21399999999999982e-03
/home/kjhan/BACKUP/Eunha.A1/LagEunha/src/AstroModules/SW_yield/agb_yields.h,2,1.25000000000000000e+00,7.00000000000000015e-03,6.20999999999999996e-01,4.96999999999999997e-01,-1.06379999999999999e-02,1.41619999999999992e-02,-1.73675999999999995e-04,2.37369100000000004e-04,2.27349300000000002e-05,9.17423899999999936e-06,6.85324600000000055e-05,9.46585099999999957e-06,2.68547800000000019e-06,-2.46742200000000006e-06,5.04565100000000012e-05,-3.52399999999999979e-03
/home/kjhan/BACKUP/Eunha.A1/LagEunha/src/AstroModules/SW_yield/agb_yields.h,2,1.50000000000000000e+00,7.00000000000000015e-03,8.44999999999999973e-01,5.62999999999999945e-01,-1.23940000000000005e-02,1.69300000000000006e-02,-2.85862699999999990e-05,3.85047800000000017e-04,4.38795500000000024e-05,4.23284300000000016e-05,9.33057800000000023e-05,1.29120999999999996e-05,3.65086599999999997e-06,-3.35963400000000008e-06,6.86060400000000029e-05,-4.53600000000000010e-03
/home/kjhan/BACKUP/Eunha.A1/LagEunha/src/AstroModules/SW_yield/agb_yields.h,2,1.75000000000000000e+00,7.00000000000000015e-03,1.07899999999999996e+00,6.16999999999999993e-01,-1.86480000000000014e-02,2.21429999999999995e-02,1.73350000000000001e-03,5.61359599999999978e-04,1.28073599999999993e-04,3.73912500000000015e-04,1.22401800000000011e-04,1.66841599999999992e-05,4.57607500000000006e-06,-4.32252499999999975e-06,8.68286399999999934e-05,-3.49499999999999984e-03
/home/kjhan/BACKUP/Eunha.A1/LagEunha/src/AstroModules/SW_yield/agb_yields.h,2,1.89999999999999991e+00,7.00000000000000015e-03,1.24300000000000010e+00,6.54000000000000026e-01,-2.57579999999999996e-02,2.71190000000000007e-02,4.19079499999999976e-03,6.56334800000000010e-04,2.62641799999999983e-04,7.20356300000000007e-04,1.42599899999999990e-04,1.93295800000000007e-05,5.19853699999999983e-06,-5.01266299999999992e-06,9.93208199999999941e-05,-1.36100000000000001e-03
/home/kjhan/BACKUP/Eunha.A1/LagEunha/src/AstroModules/SW_yield/agb_yields.h,2,2.10000000000000009e+00,7.00000000000000015e-03,1.44100000000000006e+00,6.86000000000000054e-01,-3.49830000000000002e-02,3.39790000000000023e-02,7.15073399999999974e-03,7.68569299999999974e-04,3.42816000000000019e-04,1.02121099999999995e-03,1.66608000000000001e-04,2.25319399999999996e-05,5.97679099999999964e-06,-5.83140900000000023e-06,1.14642400000000005e-04,1.00399999999999990e-03
/home/kjhan/BACKUP/Eunha.A1/LagEunha/src/AstroModules/SW_yield/agb_yields.h,2,2.25000000000000000e+00,7.00000000000000015e-03,1.58699999999999997e+00,7.04999999999999960e-01,-4.60010000000000002e-02,4.21769999999999992e-02,9.94518999999999959e-03,8.56721299999999952e-04,3.91899300000000017e-04,1.63235199999999989e-03,1.90315599999999998e-04,2.50675100000000008e-05,6.44977599999999982e-06,-6.47672399999999999e-06,1.25185099999999995e-04,3.82400000000000014e-03
/home/kjhan/BACKUP/Eunha.A1/LagEunha/src/AstroModules/SW_yield/agb_yields.h,2,2.50000000000000000e+00,7.00000000000000015e-03,1.83200000000000007e+00,7.32999999999999985e-01,-7.43059999999999971e-02,6.57589999999999980e-02,1.46150399999999993e-02,1.18468599999999990e-03,2.96864600000000024e-04,2.58551099999999997e-03,2.30681299999999990e-04,2.92972500000000014e-05,7.27638800000000000e-06,-7.54341199999999997e-06,1.43332500000000010e-04,8.54700000000000078e-03
/home/kjhan/BACKUP/Eunha.A1/LagEunha/src/AstroModules/SW_yield/agb_yields.h,2,2.75000000000000000e+00,7.00000000000000015e-03,2.07100000000000017e+00,7.53000000000000003e-01,-1.02722999999999995e-01,8.73749999999999943e-02,2.10864000000000017e-02,1.38617899999999997e-03,2.11408400000000007e-04,3.86217899999999987e-03,2.79324200000000025e-04,3.38207200000000010e-05,7.94450700000000074e-06,-8.63739300000000053e-06,1.60337199999999994e-04,1.53480000000000005e-02
/home/kjhan/BACKUP/Eunha.A1/LagEunha/src/AstroModules/SW_yield/agb_yields.h,2,3.00000000000000000e+00,7.00000000000000015e-03,2.30200000000000005e+00,7.67000000000000015e-01,-1.15636000000000003e-01,9.87269999999999953e-02,2.29993099999999985e-02,1.61251400000000000e-03,1.05496599999999995e-04,4.48756299999999997e-03,3.31975300000000027e-04,3.90391299999999990e-05,8.49097000000000012e-06,-9.72713000000000084e-06,1.76851299999999999e-04,1.69090000000000004e-02
