rank,local_index,source_id,source_kind,level,position_x_code,position_y_code,position_z_code,position_x_proper_cm,position_y_proper_cm,position_z_proper_cm,mass_code,mass_msun,initial_mass_code,initial_mass_msun,birth_epoch_code,birth_proper_time_code,age_myr,birth_metallicity_mass_fraction,yield_table_index_code
31,4098011,1,star,11,0.73805204660317569,0.46623561251911644,0.034690671939556786,4.9365902697018399e+24,3.1184984836006334e+24,2.3203462998905775e+23,1.8801845105330812e-08,2280339.0822299072,1.8801845673920336e-08,2280339.1511899964,-10.977338822061656,-0.94683581120857185,750.09915836558559,9.9999999999999977e-51,0.052568644042521817
31,4093287,2,star,11,0.73806498321374525,0.46626333599013875,0.03455953823266894,4.9366767984854864e+24,3.1186839168880567e+24,2.3115751924269254e+23,1.8801845115003866e-08,2280339.0834030816,1.8801845673920339e-08,2280339.1511899969,-10.720372940901447,-0.94594149471793332,737.33824157046661,1.3412645110802908e-11,0.051674327551883281
3,3404523,3,star,11,0.40955115872111214,0.27599922102741448,0.34335698427285388,2.739354594832251e+24,1.8460690885419179e+24,2.2966032753336244e+24,1.8801845122180412e-08,2280339.0842734724,1.8801845673920336e-08,2280339.1511899964,-10.540589268432576,-0.94527799050420969,727.87076316302637,1.0000000000000004e-50,0.05101082333815965
3,3521504,4,star,11,0.48833565886565911,0.38786337674191446,0.27720089031455902,3.2663185110044199e+24,2.5942920697939772e+24,1.8541066638560432e+24,1.8801845124596845e-08,2280339.0845665443,1.8801845673920339e-08,2280339.1511899969,-10.481944614936163,-0.94505458080229177,724.68295141266776,1.0000000000000002e-50,0.050787413636241729
3,3416188,5,star,11,0.40921474688826903,0.27654809149918774,0.34424966743375379,2.7371044454176271e+24,1.8497403047423919e+24,2.302574142871093e+24,1.8801845126998623e-08,2280339.0848578387,1.8801845673920336e-08,2280339.1511899964,-10.424601989270416,-0.94483252520237049,721.51446121468155,1.0000000000000002e-50,0.050565358036320451
3,3416189,6,star,11,0.48983051199382022,0.38599542497831663,0.27549698025956493,3.2763170977451205e+24,2.5817979475394702e+24,1.8427097632761393e+24,1.8801845126998623e-08,2280339.0848578387,1.8801845673920336e-08,2280339.1511899964,-10.424601989270416,-0.94483252520237049,721.51446121468155,1e-50,0.050565358036320451
12,3568268,7,star,11,0.39164880015528009,0.82627339766721597,0.66547669147212507,2.6196115367274115e+24,5.526674214658165e+24,4.4511573065266399e+24,1.8801845126998623e-08,2280339.0848578387,1.8801845673920336e-08,2280339.1511899964,-10.424601989270416,-0.94483252520237049,721.51446121468155,1e-50,0.050565358036320451
3,3572242,8,star,11,0.48679491026941968,0.38869445840777417,0.2761562966590172,3.2560129443939641e+24,2.5998509049518675e+24,1.8471197163914659e+24,1.8801845131932527e-08,2280339.0854562358,1.8801845673920339e-08,2280339.1511899969,-10.309546328630775,-0.94437636395304292,715.0055398107271,2.5368734348703951e-12,0.050109196786992882
3,4574874,9,star,11,0.49575895468108638,0.39584948090222583,0.28379846094907535,3.3159705241113761e+24,2.6477085250047781e+24,1.898235669592051e+24,1.8801845134222196e-08,2280339.0857339329,1.8801845673920336e-08,2280339.1511899964,-10.25736154972598,-0.94416467343818522,711.98494802393554,1.0000000000000002e-50,0.049897506272135184
12,3593758,10,star,11,0.39033903953256943,0.82538612004875245,0.66705843678901389,2.6108509735998242e+24,5.5207395030372285e+24,4.4617370868774128e+24,1.8801845141038419e-08,2280339.0865606233,1.8801845673920333e-08,2280339.1511899959,-10.106369428432105,-0.94353448292829845,702.99281968243872,1.0000000000000002e-50,0.049267315762248409
