source_id,source_kind,x_code,y_code,z_code,q_group_0_s,q_group_1_s,q_group_2_s,q_group_3_s,q_group_4_s,q_group_5_s,q_group_6_s,q_group_7_s,q_group_8_s
1,star,0.73805204660317569,0.46623561251911644,0.034690671939556786,5.0811691104292813e+51,6.6258211336112239e+51,5.2741745004108379e+50,3.0091673327971947e+49,1.1305581426897412e+47,3.9641191235345117e+46,9.1948400374726049e+44,9.2685424807329218e+36,89311.007544492182
2,star,0.73806498321374525,0.46626333599013875,0.03455953823266894,5.052894097623913e+51,6.6338450018381258e+51,5.4047603585174476e+50,3.1159033477494956e+49,1.1597356460151165e+47,4.1057100327247527e+46,9.8681081601891896e+44,1.1117393140387685e+37,88811.660559628188
3,star,0.40955115872111214,0.27599922102741448,0.34335698427285388,5.0315985033639462e+51,6.6398882543498612e+51,5.5031123369752506e+50,3.1962925904704818e+49,1.1817109595759997e+47,4.2123505698580355e+46,1.0375186436978465e+45,1.2509872562635783e+37,88435.572638543934
4,star,0.48833565886565911,0.38786337674191446,0.27720089031455902,5.0243656420425143e+51,6.6419407919223871e+51,5.5365167215718928e+50,3.2235960898346217e+49,1.189174681580682e+47,4.2485700905209659e+46,1.0547411114550537e+45,1.2982815953232029e+37,88307.837683385529
5,star,0.40921474688826903,0.27654809149918774,0.34424966743375379,5.017145022576521e+51,6.6439898555076268e+51,5.5698645681500124e+50,3.2508533771289575e+49,1.1966257709906304e+47,4.2847283084550847e+46,1.0719344296196913e+45,1.3454958871599871e+37,88180.318923835788
6,star,0.48983051199382022,0.38599542497831663,0.27549698025956493,5.017145022576521e+51,6.6439898555076268e+51,5.5698645681500124e+50,3.2508533771289575e+49,1.1966257709906304e+47,4.2847283084550847e+46,1.0719344296196913e+45,1.3454958871599871e+37,88180.318923835788
7,star,0.39164880015528009,0.82627339766721597,0.66547669147212507,5.017145022576521e+51,6.6439898555076268e+51,5.5698645681500124e+50,3.2508533771289575e+49,1.1966257709906304e+47,4.2847283084550847e+46,1.0719344296196913e+45,1.3454958871599871e+37,88180.318923835788
8,star,0.48679491026941968,0.38869445840777417,0.2761562966590172,5.0022119458140332e+51,6.6482275561583465e+51,5.6388317745178605e+50,3.3072246019830855e+49,1.2120354862715676e+47,4.3595076880565297e+46,1.1074922015205201e+45,1.4431405072103778e+37,87916.59537020135
9,star,0.49575895468108638,0.39584948090222583,0.28379846094907535,4.9952357191483287e+51,6.6502072660835688e+51,5.6710509127286184e+50,3.3335593251121876e+49,1.2192343822769651e+47,4.3944420763488884e+46,1.1241035857953733e+45,1.4887567598415303e+37,87793.392676175121
10,star,0.39033903953256943,0.82538612004875245,0.66705843678901389,4.9742913298168481e+51,6.6561508538458593e+51,5.7677808796501826e+50,3.412622796037551e+49,1.2408472810428728e+47,4.499323907819375e+46,1.1739751447711942e+45,1.6257082381595847e+37,87423.507161551883
11,star,0.49571984961838317,0.39589653818299753,0.28390758131338245,4.9674081160679207e+51,6.6581041686145977e+51,5.7995704452331319e+50,3.4386064025060152e+49,1.2479501953167257e+47,4.5337925214879228e+46,1.1903650521105744e+45,1.6707162965744489e+37,87301.947109382803
12,star,0.63542002435391043,0.010962204837108984,0.97585158229043378,4.938387888731735e+51,6.6663395134281676e+51,5.9335980163338372e+50,3.5481555454258127e+49,1.27789669915859e+47,4.6791151921343542e+46,1.2594663257826183e+45,1.8604741821788476e+37,86789.439365526341
13,star,0.49600574935777297,0.39627745296488787,0.28412312993035593,4.938387888731735e+51,6.6663395134281676e+51,5.9335980163338372e+50,3.5481555454258127e+49,1.27789669915859e+47,4.6791151921343542e+46,1.2594663257826183e+45,1.8604741821788476e+37,86789.439365526341
14,star,0.48732178287178535,0.38886421287186035,0.27636784214835924,4.9307653385807043e+51,6.6685026366913021e+51,5.9688021472491651e+50,3.5769300903745751e+49,1.2857625482003017e+47,4.7172861317431783e+46,1.2776166978649329e+45,1.9103166242388782e+37,86654.822364250605
15,star,0.51530691360749814,0.52893161926630838,0.40969424817137179,4.9307653385807043e+51,6.6685026366913021e+51,5.9688021472491651e+50,3.5769300903745751e+49,1.2857625482003017e+47,4.7172861317431783e+46,1.2776166978649329e+45,1.9103166242388782e+37,86654.822364250605
16,star,0.39082383906407198,0.82489100610209809,0.66820624951266072,4.9231257204106579e+51,6.6706706035078776e+51,6.0040851054288649e+50,3.605769065792229e+49,1.2936460100432893e+47,4.755542541740549e+46,1.295807711319193e+45,1.9602706709104968e+37,86519.903935566443
17,star,0.41076415701100588,0.27764579831619013,0.34296404227401772,4.9154354957487703e+51,6.6728529314080267e+51,6.0396017855951255e+50,3.6347990768535117e+49,1.301581693651627e+47,4.7940523705158382e+46,1.3141192260018484e+45,2.0105556240487829e+37,86384.09177787535
18,star,0.39002643879626808,0.8258472210480996,0.66691545506936889,4.9154354957487703e+51,6.6728529314080267e+51,6.0396017855951255e+50,3.6347990768535117e+49,1.301581693651627e+47,4.7940523705158382e+46,1.3141192260018484e+45,2.0105556240487829e+37,86384.09177787535
19,star,0.5861474993138529,0.15445706747470622,0.49263952863293214,4.9154354957487703e+51,6.6728529314080267e+51,6.0396017855951255e+50,3.6347990768535117e+49,1.301581693651627e+47,4.7940523705158382e+46,1.3141192260018484e+45,2.0105556240487829e+37,86384.09177787535
20,star,0.48861554868293811,0.38858125837099461,0.27700854285268317,4.9154354957487703e+51,6.6728529314080267e+51,6.0396017855951255e+50,3.6347990768535117e+49,1.301581693651627e+47,4.7940523705158382e+46,1.3141192260018484e+45,2.0105556240487829e+37,86384.09177787535
21,star,0.38580754831066333,0.28822019960550199,0.34805559880003084,4.9077469246785039e+51,6.6750347900528183e+51,6.075110828782323e+50,3.6638228457326527e+49,1.3095156708884996e+47,4.8325539187098711e+46,1.3324268032485275e+45,2.0608297646580684e+37,86248.308823212239
22,star,0.26001044419555075,0.65487252966355736,0.14283344175694568,4.9077469246785039e+51,6.6750347900528183e+51,6.075110828782323e+50,3.6638228457326527e+49,1.3095156708884996e+47,4.8325539187098711e+46,1.3324268032485275e+45,2.0608297646580684e+37,86248.308823212239
23,star,0.56471528438519991,0.42140432392288618,0.52537573320018482,4.9077469246785039e+51,6.6750347900528183e+51,6.075110828782323e+50,3.6638228457326527e+49,1.3095156708884996e+47,4.8325539187098711e+46,1.3324268032485275e+45,2.0608297646580684e+37,86248.308823212239
24,star,0.4965688337176129,0.39647694578326614,0.28372212187686174,4.9077469246785039e+51,6.6750347900528183e+51,6.075110828782323e+50,3.6638228457326527e+49,1.3095156708884996e+47,4.8325539187098711e+46,1.3324268032485275e+45,2.0608297646580684e+37,86248.308823212239
25,star,0.92144579712859898,0.070510578455327474,0.10242482364024887,4.9077469246785039e+51,6.6750347900528183e+51,6.075110828782323e+50,3.6638228457326527e+49,1.3095156708884996e+47,4.8325539187098711e+46,1.3324268032485275e+45,2.0608297646580684e+37,86248.308823212239
26,star,0.34532330668339206,0.10625511792188694,0.4456491575038028,4.9001432685000922e+51,6.6771925515943687e+51,6.1102276994143683e+50,3.6925260673770679e+49,1.3173620228939885e+47,4.8706302442232211e+46,1.3505321861046227e+45,2.1105486625344862e+37,86114.02549634804
27,star,0.48697302922685359,0.38867675809736041,0.2765168038233014,4.9001432685000922e+51,6.6771925515943687e+51,6.1102276994143683e+50,3.6925260673770679e+49,1.3173620228939885e+47,4.8706302442232211e+46,1.3505321861046227e+45,2.1105486625344862e+37,86114.02549634804
