source_tex_line,table_label,initial_mass_msun,metallicity_mass_fraction,initial_helium_label,thermal_pulses,carbon_ignition_footnote,core_mass_first_tp_msun,stellar_duration_myr,rgb_duration_myr,agb_duration_myr,tp_agb_duration_myr
363,tab:modelsz04,1.00,0.04,0.330,6,false,0.573,15200,3347,23.6,0.26
364,tab:modelsz04,1.25,0.04,0.330,7,false,0.580,6620,1811,30.0,0.28
365,tab:modelsz04,1.50,0.04,0.330,8,false,0.582,3452,843,20.8,0.31
366,tab:modelsz04,1.75,0.04,0.330,12,false,0.581,2076,376,19.0,0.49
367,tab:modelsz04,2.00,0.04,0.330,17,false,0.577,1394,169,22.7,0.75
368,tab:modelsz04,2.25,0.04,0.330,23,false,0.571,1132,68.0,25.3,1.1
369,tab:modelsz04,2.50,0.04,0.330,26,false,0.579,851.2,38.8,21.7,1.1
370,tab:modelsz04,2.75,0.04,0.330,28,false,0.584,645.0,25.8,17.9,1.0
371,tab:modelsz04,3.00,0.04,0.330,28,false,0.610,493.1,18.2,13.1,0.90
372,tab:modelsz04,3.25,0.04,0.330,27,false,0.634,443.5,13.2,11.1,0.74
373,tab:modelsz04,3.50,0.04,0.330,22,false,0.672,302.0,10.2,8.29,0.49
374,tab:modelsz04,3.75,0.04,0.330,18,false,0.715,244.2,8.00,6.25,0.31
375,tab:modelsz04,4.00,0.04,0.330,16,false,0.761,203.1,6.37,4.61,0.19
376,tab:modelsz04,4.25,0.04,0.330,14,false,0.809,167.4,5.23,3.86,0.12
377,tab:modelsz04,4.50,0.04,0.330,15,false,0.835,141.6,4.29,3.09,0.10
378,tab:modelsz04,4.75,0.04,0.330,18,false,0.844,121.1,3.61,2.61,0.11
379,tab:modelsz04,5.00,0.04,0.330,21,false,0.854,106.1,3.04,2.18,0.12
380,tab:modelsz04,5.25,0.04,0.330,24,false,0.863,92.5,2.51,1.88,0.12
381,tab:modelsz04,5.50,0.04,0.330,28,false,0.872,82.0,2.22,1.60,0.13
382,tab:modelsz04,5.75,0.04,0.330,30,false,0.883,73.4,1.82,1.38,0.12
383,tab:modelsz04,6.00,0.04,0.330,32,false,0.895,65.3,1.57,1.21,0.12
384,tab:modelsz04,6.25,0.04,0.330,35,false,0.906,59.1,1.31,1.08,0.12
385,tab:modelsz04,6.50,0.04,0.330,37,false,0.920,54.3,1.15,0.90,0.11
386,tab:modelsz04,6.75,0.04,0.330,39,false,0.934,49.1,0.95,0.82,0.10
387,tab:modelsz04,7.00,0.04,0.330,43,false,0.951,44.7,0.82,0.69,0.091
388,tab:modelsz04,7.25,0.04,0.330,45,false,0.970,41.6,0.72,0.62,0.082
389,tab:modelsz04,7.50,0.04,0.330,50,false,0.993,38.7,0.63,0.52,0.074
390,tab:modelsz04,7.75,0.04,0.330,56,false,1.014,36.1,0.55,0.47,0.070
391,tab:modelsz04,8.00,0.04,0.330,64,true,1.039,32.7,0.53,0.45,0.064
579,tab:modelsz06-z07,1.0,0.05,0.354,0,false,,14110,3406,20,
580,tab:modelsz06-z07,1.5,0.05,0.354,4,false,0.603,3222,756.2,20,
581,tab:modelsz06-z07,2.0,0.05,0.354,14,false,0.595,1340,148.7,19,
582,tab:modelsz06-z07,2.5,0.05,0.354,21,false,0.604,787.2,37.2,18,
583,tab:modelsz06-z07,3.0,0.05,0.354,22,false,0.636,450.6,16.8,12,
584,tab:modelsz06-z07,3.5,0.05,0.354,17,false,0.700,276.0,9.6,7.2,
585,tab:modelsz06-z07,4.0,0.05,0.354,12,false,0.787,182.8,6.0,4.5,
586,tab:modelsz06-z07,4.5,0.05,0.354,12,false,0.840,129.8,4.0,2.9,
587,tab:modelsz06-z07,5.0,0.05,0.354,19,false,0.857,96.5,2.8,2.1,
588,tab:modelsz06-z07,5.5,0.05,0.354,26,false,0.874,75.4,2.0,1.5,
589,tab:modelsz06-z07,5.75,0.05,0.354,29,false,0.887,66.9,1.7,1.3,
590,tab:modelsz06-z07,6.0,0.05,0.354,34,false,0.897,53.8,1.4,1.2,
591,tab:modelsz06-z07,6.5,0.05,0.354,39,false,0.915,49.4,1.0,0.91,
592,tab:modelsz06-z07,7.0,0.05,0.354,44,false,0.953,40.8,0.75,0.70,
593,tab:modelsz06-z07,7.5,0.05,0.354,51,false,0.991,35.2,0.58,0.53,
594,tab:modelsz06-z07,8.0,0.05,0.354,59,true,1.034,30.0,0.42,0.44,
596,tab:modelsz06-z07,1.0,0.06,0.375,0,false,,12900,3431,21,
597,tab:modelsz06-z07,1.5,0.06,0.375,1,false,0.616,2986,665,17,
598,tab:modelsz06-z07,2.0,0.06,0.375,8,false,0.621,1265,128,19,
599,tab:modelsz06-z07,2.5,0.06,0.375,15,false,0.631,721.7,33.1,15,
