source,initial_mass_msun,metallicity,initial_helium,overshoot,stellar_duration_myr,core_kind
K14,1.0,0.007,0.26,0,10065,CO
K14,1.25,0.007,0.26,0,4526,CO
K14,1.5,0.007,0.26,0,2451,CO
K14,1.75,0.007,0.26,0,1535,CO
K14,1.9,0.007,0.26,0,1216,CO
K14,2.1,0.007,0.26,0,968.5,CO
K14,2.25,0.007,0.26,0,900.2,CO
K14,2.5,0.007,0.26,0,687.3,CO
K14,3.0,0.007,0.26,0,394.8,CO
K14,3.5,0.007,0.26,0,256.8,CO
K14,4.0,0.007,0.26,0,181.7,CO
K14,4.25,0.007,0.26,0,155.1,CO
K14,4.5,0.007,0.26,0,134.9,CO
K14,5.0,0.007,0.26,0,104.3,CO
K14,5.5,0.007,0.26,0,83.54,CO
K14,6.0,0.007,0.26,0,68.89,CO
K14,7.0,0.007,0.26,0,48.93,CO_Ne
K14,1.0,0.014,0.28,0,12186,CO
K14,1.25,0.014,0.28,0,5372,CO
K14,1.5,0.014,0.28,0,2882,CO
K14,1.75,0.014,0.28,0,1756,CO
K14,2.0,0.014,0.28,0,1186,CO
K14,2.25,0.014,0.28,0,1015,CO
K14,2.5,0.014,0.28,0,770.2,CO
K14,2.75,0.014,0.28,0,587.5,CO
K14,3.0,0.014,0.28,0,453.6,CO
K14,3.25,0.014,0.28,0,355.5,CO
K14,3.5,0.014,0.28,0,282.0,CO
K14,4.0,0.014,0.28,0,192.7,CO
K14,4.5,0.014,0.28,0,141.0,CO
K14,5.0,0.014,0.28,0,108.2,CO
K14,5.5,0.014,0.28,0,85.07,CO
K14,6.0,0.014,0.28,0,69.85,CO
K14,7.0,0.014,0.28,0,48.44,CO
K14,8.0,0.014,0.28,0,36.52,CO_Ne
K14,1.0,0.03,0.3,0,16164,CO
K14,1.25,0.03,0.3,0,7004,CO
K14,1.5,0.03,0.3,0,3655,CO
K14,1.75,0.03,0.3,0,2183,CO
K14,2.0,0.03,0.3,0,1450,CO
K14,2.25,0.03,0.3,0,1161,CO
K14,2.5,0.03,0.3,0,914.2,CO
K14,2.75,0.03,0.3,0,695.0,CO
K14,3.0,0.03,0.3,0,532.3,CO
K14,3.25,0.03,0.3,0,417.1,CO
K14,3.5,0.03,0.3,0,327.8,CO
K14,3.75,0.03,0.3,0,264.1,CO
K14,4.0,0.03,0.3,0,219.2,CO
K14,4.25,0.03,0.3,0,182.1,CO
K14,4.5,0.03,0.3,0,154.8,CO
K14,4.75,0.03,0.3,0,132.2,CO
K14,5.0,0.03,0.3,0,115.7,CO
K14,5.5,0.03,0.3,0,90.08,CO
K14,6.0,0.03,0.3,0,72.55,CO
K14,7.0,0.03,0.3,0,50.14,CO
K14,8.0,0.03,0.3,0,36.64,CO_Ne
KL16,1.5,0.007,0.26,1,2451,CO
KL16,1.75,0.007,0.26,1,1535,CO
KL16,2.75,0.007,0.26,0,509.6,CO
KL16,3.25,0.007,0.26,0,313.4,CO
KL16,3.75,0.007,0.26,0,212.2,CO
KL16,4.75,0.007,0.26,0,118.0,CO
KL16,7.5,0.007,0.26,0,42.6,ONe
KL16,1.5,0.014,0.28,3,2882,CO
KL16,1.75,0.014,0.28,2,1755,CO
KL16,3.75,0.014,0.28,0,229.4,CO
KL16,4.25,0.014,0.28,0,162.9,CO
KL16,4.75,0.014,0.28,0,121.9,CO
KL16,2.5,0.03,0.3,2.5,914.8,CO
KL16,2.75,0.03,0.3,2,695.3,CO
KL16,3.0,0.03,0.3,1,532.4,CO
