source_id,source_kind,x_code,y_code,z_code,q_group_0_s,q_group_1_s,q_group_2_s,q_group_3_s,q_group_4_s,q_group_5_s,q_group_6_s,q_group_7_s,q_group_8_s,aexp,mass_msun,inflow_mdot_msun_per_year,bolometric_luminosity_erg_s,radiative_efficiency,accretion_rate_convention
10,agn,0.525385831568662,0.09696130591905629,0.8891347378273707,8.231503364792024e+53,3.079355572936024e+53,1.2389644559959225e+53,3.470437541963433e+52,1.058651865930823e+53,1.419934076006301e+53,3.96433857388401e+53,2.477928947472356e+53,2.8767864392393455e+53,0.20849776467675274,23007733.014292378,0.1575395943729963,2.863804344750246e+45,0.32099416561619876,instantaneous_inflow_rate_min_bondi_eddington
2788,agn,0.5255332245211891,0.09721268544232002,0.8888091001118255,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20849776467675274,10806.461576167769,0.0,0.0,0.052907590057146514,instantaneous_inflow_rate_min_bondi_eddington
3125,agn,0.5256301205568372,0.09694141697775722,0.8891839268679805,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20849776467675274,10726.256598956956,0.0,0.0,0.06484277818297657,instantaneous_inflow_rate_min_bondi_eddington
4258,agn,0.5251994282196182,0.09696303741429996,0.8889056304309643,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20849776467675274,31263.11682410023,0.0,0.0,0.03783600947590715,instantaneous_inflow_rate_min_bondi_eddington
7325,agn,0.5253024720544931,0.09713894885875364,0.8892681414434946,1.1293920050919831e+42,4.22498711448593e+41,1.6999040019590476e+41,4.761565707218299e+40,1.4525086130341275e+41,1.9482008597097944e+41,5.43921576947017e+41,3.399808052598639e+41,3.9470549434878835e+41,0.20849776467675274,10087.532899171982,1.2087268299847647e-12,3.929243040758122e+33,0.057401633107613814,instantaneous_inflow_rate_min_bondi_eddington
17938,agn,0.5249925791982968,0.09646923343591882,0.8891988144061861,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20849776467675274,14961.623079271347,0.0,0.0,0.11238441875608574,instantaneous_inflow_rate_min_bondi_eddington
23996,agn,0.5255250171142345,0.09703730076174953,0.8891427584771644,5.998377752834569e+46,2.243956801472228e+46,9.028456285623466e+45,2.5289420925652868e+45,7.71450064365818e+45,1.0347199769653623e+46,2.888852649687349e+46,1.8056912829796917e+46,2.096342674243134e+46,0.20849776467675274,10083.342940798932,6.432387885103816e-08,2.086882493846235e+38,0.057288742390048775,instantaneous_inflow_rate_min_bondi_eddington
114442,agn,0.525163944787199,0.09656373065302067,0.8888573717619805,2.4981422920958554e+47,9.345399070181762e+46,3.760078042566831e+46,1.0532276318731823e+46,3.21285539431326e+46,4.3092946817364435e+46,1.2031194561574275e+47,7.520156192811885e+46,8.730631028993363e+46,0.20849776467675274,10251.654567628459,2.592212107239336e-07,8.691232248666163e+38,0.05920444833240457,instantaneous_inflow_rate_min_bondi_eddington
115817,agn,0.5255609947652597,0.09717997560898192,0.8891140508419324,1.6833885550181814e+46,6.297454667253152e+45,2.5337517253758164e+45,7.097239204243801e+44,2.16500237669722e+45,2.903844737102548e+45,8.10729448527906e+45,5.0675035233112654e+45,5.883189439927268e+45,0.20849776467675274,10110.890315834635,1.7910871732969164e-08,5.856640329376467e+37,0.05773980968382686,instantaneous_inflow_rate_min_bondi_eddington
123964,agn,0.5254541257483848,0.09678385004755144,0.8891913959698441,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20849776467675274,10063.155673100451,0.0,0.0,0.05720693464823201,instantaneous_inflow_rate_min_bondi_eddington
