sink_id,mass_msun,x_code,y_code,z_code
10,22711230.0,0.5253793,0.09697582,0.8891266
2788,10744.16,0.5255289,0.0972516,0.888821
3125,10664.42,0.5256325,0.09695669,0.8891645
4258,31082.88,0.5251838,0.09697081,0.888891
7325,10029.38,0.5253169,0.09715908,0.8892711
17938,14875.37,0.5249832,0.0964718,0.8891998
23996,10025.13,0.5255372,0.09703195,0.8891581
114442,10192.21,0.5251709,0.0965521,0.8888352
115817,10052.56,0.5255721,0.09717582,0.8891334
123964,10005.14,0.5254427,0.09678652,0.8891818
